Column Name,Question,Values,,
is_female,DG2. Is the respondent a male or a female?,"1=Male
2=Female",,
AA3,AA3. Zone,"1=North
2=East
3=West
4=South",,
AA5,AA5. Town Class,"1=Town Class 1
2=Town Class 2
3=Town Class 3
4=Town Class 4
5=Town Class 5",,
AA6,AA6. Village Class,"6=Village Class 1
7=Village Class 2
8=Village Class 3",,
AA8,AA8. Town Selection,"1=Original
2=Replacement 1
3=Replacement 2
4=Replacement 3",,
AA19,AA19. Accompanied,"1=Yes
2=No",,
AA20,AA20. Back Checked,"1=Yes
2=No",,
AA21,AA21. Scrutinized,"1=Yes
2=No",,
AB3,AB3. Interviewer Gender,"1=Male
2=Female",,
AB6,AB6. Day of interview,"1=Monday
2=Tuesday
3=Wednesday
4=Thursday
5=Friday
6=Saturday
7=Sunday",,
DG3,DG3. What is your marital status?,"1=Singe/ Not married 
2=Polygamously married (i.e., has multiple spouses)
3=Monogamously married
4=Divorced
5=Separated
6=Widow/widower
7=Living together with my partner but not married
8=Living together/cohabitating 
96=Other (Specify)
99=DK",,
DG3A,What is your religion?,"1=Christianity
2=Islam
3=Sikhism
4=Hinduism
5=Buddhism
6=No religion
96=Other (Specify)
99=DK",,
DG4,DG4. What is your highest level of education?,"1=Illiterate- no formal education
2=Literate without formal education ( knows how to read and write but has not formally studied in a school)
3=Below Primary Schooling (Schooling till standard 4th) 
4=Primary (Schooling till standard 5th)
5=Middle (Schooling till standard 6th-8th)
6=Matriculation/Secondary (schooling till standard 10th )
7=Higher secondary (schooling till standard 12th )/ Intermediate/Pre University/ Senior Secondary
8=Non technical diploma or certificate not equal to degree
9=Technical diploma or certificate not equal to degree
10=Graduate
11=Post Graduate and above
96=Other (Specify)
99=DK",,
DG5_1,DG5.1.Do you have any of the following type of official identification? Aadhaar card/UID ,"1=Yes
2=No",,
DG5_2,DG5.2.Do you have any of the following type of official identification? PAN card,"1=Yes
2=No",,
DG5_3,DG5.3.Do you have any of the following type of official identification? Passport,"1=Yes
2=No",,
DG5_4,DG5.4.Do you have any of the following type of official identification? Driver’s license,"1=Yes
2=No",,
DG5_5,DG5.5.Do you have any of the following type of official identification? School-issued ID / College-issued ID,"1=Yes
2=No",,
DG5_6,DG5.6.Do you have any of the following type of official identification? Voters card,"1=Yes
2=No",,
DG5_7,DG5.7.Do you have any of the following type of official identification? Ration card (could be known as Blue card),"1=Yes
2=No",,
DG5_8,DG5.8.Do you have any of the following type of official identification? Employee ID (for government/civil servants),"1=Yes
2=No",,
DG5_9,DG5.9.Do you have any of the following type of official identification? Military ID,"1=Yes
2=No",,
DG5_10,DG5.10.Do you have any of the following type of official identification? Bank passbook,"1=Yes
2=No",,
DG5_11,DG5.11.Do you have any of the following type of official identification? Post office account passbook,"1=Yes
2=No",,
DG5_96,DG5.96.Do you have any of the following type of official identification? Other (Specify) ,"1=Yes
2=No",,
